instructorid,class_num
32f2f,2781
32f2f,1672
81e9f,1620
81e9f,1621
c48fb,5312
c48fb,3465
72d1e,3512
72d1e,3510
72d1e,3511
043c3,1971
1a1e8,3471
6d83a,3514
6d83a,3513
c48fb,5017
c48fb,5037
aff4c,1981
043c3,3461
043c3,3457
c48fb,1859
885c2,1855
aff4c,1932
6d83a,1913
